id,country,latitude,longitude,name,index1,index2,index3,index4,index5,index6,index7,index8,index9,index10,index11,index12,index13,index14,index15,index16,index17,index18,index19,index20,index21,index22,index23,Years in education,Positive,Net_migration
23,NZ,-40.900557,174.885971,New Zealand,14,0,77,0.45,75,81.2,0.6,28783,90002,20,2.1,81.6,7.4,2.56,52833,90,1.9,76,1.3,508,15.9,82,93,18.7,Positive,1222
24,NO,60.472024,8.468946,Norway,5,0.3,77,15.02,76,64.8,1.3,24366,52718,26,4.9,81.7,7.3,0.72,39397,95,2.4,88,2.5,506,14.87,77,90,17.8,Negative,1603
25,PL,51.919438,19.145136,Poland,5,0,82,3.17,74,87.7,0.6,35739,20347,17,2.7,82.4,7.5,0.59,53643,94,2.1,78,1.9,504,15.56,78,96,18.1,Positive,281
26,PT,39.399872,-8.224454,Portugal,22,2.7,91,6.68,65,66.3,0.8,18906,14997,23,4.3,77.6,6,2.14,25921,89,1.1,58,2.6,504,14.42,55,80,17.7,Negative,587
27,RU,61.52401,105.318756,Russia,10,1,47,8.2,65,72.1,1,20519,31877,21,6.5,81.2,5.2,6.14,24529,87,1.7,46,1.2,497,14.89,56,87,17.1,Negative,13560
28,SK,48.669026,19.699024,Slovakia,15,13.8,95,0.16,70,52.2,11.3,16657,2260,19,3.6,71.3,6,1.64,22101,90,1,43,0.8,492,14.9,65,54,16.1,Negative,105438
29,SI,46.151241,14.995463,Slovenia,21,1.4,92,5.04,65,60.1,0.8,20265,10846,24,6.7,76.7,6.1,5.46,23508,91,1.1,66,2.9,463,15.01,60,82,15.9,Negative,68450
30,ZA,-30.559482,22.937506,South Africa,16,0.3,87,4.46,66,84.7,0.6,20505,20048,18,4,80.9,5.8,4.26,34965,91,1.5,65,2.8,509,14.75,52,89,18.1,Positive,15937
31,KR,35.907757,127.766922,South Korea,22,37,43,18.68,43,36.1,10,10872,17042,18,26.5,57.4,4.8,15.57,11554,88,0.7,67,1.6,391,14.73,73,69,15.3,Negative,45720
32,ES,40.463667,-3.74922,Spain,11,0.1,58,4.55,60,83.1,0.6,23129,35443,22,17.3,83,6.4,9.49,37333,95,1.9,72,1.6,491,15.93,70,73,17.9,Negative,37910
33,SE,60.128161,18.643501,Sweden,6,0,83,1.11,76,75.9,1,30553,90708,20,5.7,82.3,7.3,1.17,42816,92,1.8,80,2,496,15.18,86,95,19.2,Positive,361274
34,CH,46.818188,8.227512,Switzerland,15,0,87,6.91,80,84,0.5,36378,128415,21,1.8,83,7.5,1.94,60124,94,1.9,80,2.6,506,15.02,49,96,17.5,Negative,1354
35,TR,38.963745,35.243322,Turkey,20,6.5,39,33.77,51,60.6,1.7,17067,4429,20,13,78,5.5,2.24,22848,86,1,66,2.1,425,12.59,85,63,17.9,Positive,1106
36,GB,55.378051,-3.435973,United Kingdom,11,0.4,81,12.68,74,77.4,0.2,28408,83405,24,2.6,81,6.7,1.32,42835,93,2,70,2.9,500,14.92,69,85,16.8,Negative,58734
